,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO PULL,REFER TO HUNTR
140,CVE-2022-0666,1,0,0,0,0,1
141,CVE-2022-0665,1,0,0,0,0,1
142,CVE-2022-0664,1,0,0,0,0,1
143,CVE-2022-0660,1,0,0,0,0,1
144,CVE-2022-0654,1,0,0,0,0,1
145,CVE-2021-3967,1,0,0,0,0,1
146,CVE-2022-0639,1,0,0,0,0,1
147,CVE-2022-0638,1,0,0,0,0,1
148,CVE-2022-0632,1,0,0,0,0,1
149,CVE-2022-0631,1,0,0,0,0,1
150,CVE-2022-0630,1,0,0,0,0,1
151,CVE-2022-0629,1,0,0,0,0,1
152,CVE-2022-0623,1,0,0,0,0,1
153,CVE-2022-0622,1,0,0,0,0,1
154,CVE-2022-0614,1,0,0,0,0,1
155,CVE-2022-0613,1,0,0,0,0,1
156,CVE-2022-0612,1,0,0,0,0,1
157,CVE-2022-0611,1,0,0,0,0,1
158,CVE-2022-0597,1,0,0,0,0,1
159,CVE-2022-0596,1,0,0,0,0,1
160,CVE-2022-0589,1,0,0,0,0,1
161,CVE-2022-0588,1,0,0,0,0,1
162,CVE-2022-0587,1,0,0,0,0,1
163,CVE-2022-0580,1,0,0,0,0,1
164,CVE-2022-0579,1,0,0,0,0,1
165,CVE-2022-0577,1,0,0,0,0,1
166,CVE-2022-0576,1,0,0,0,0,1
167,CVE-2022-0575,1,0,0,0,0,1
168,CVE-2022-0572,1,0,0,0,0,1
169,CVE-2022-0571,1,0,0,0,0,1
170,CVE-2022-0570,1,0,0,0,0,1
171,CVE-2022-0569,1,0,0,0,0,1
172,CVE-2022-0565,1,0,0,0,0,1
173,CVE-2022-0560,1,0,0,0,0,1
174,CVE-2022-0559,1,0,0,0,0,1
175,CVE-2022-0558,1,0,0,0,0,1
176,CVE-2022-0557,1,0,0,0,0,1
177,CVE-2022-0554,1,0,0,0,0,1
178,CVE-2022-0539,1,0,0,0,0,1
179,CVE-2022-0536,1,0,0,0,0,1
180,CVE-2022-0528,1,0,0,0,0,1
181,CVE-2022-0527,1,0,0,0,0,1
182,CVE-2022-0526,1,0,0,0,0,1
183,CVE-2022-0525,1,0,0,0,0,1
184,CVE-2022-0524,1,0,0,0,0,1
185,CVE-2022-0523,1,0,0,0,0,1
