,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO HUNTR
91,CVE-2022-0868,0,0,0,0,1
92,CVE-2022-0860,1,0,0,0,1
93,CVE-2022-0855,0,0,0,0,1
94,CVE-2022-0849,1,0,0,0,1
95,CVE-2022-0848,0,0,0,0,1
96,CVE-2022-0845,0,0,0,0,1
97,CVE-2022-0841,0,0,0,0,1
98,CVE-2022-0839,1,0,0,0,1
99,CVE-2022-0838,1,0,0,0,1
100,CVE-2022-0832,1,0,0,0,1
101,CVE-2022-0831,1,0,0,0,1
102,CVE-2022-0829,1,0,0,0,1
103,CVE-2022-0824,1,0,0,0,1
104,CVE-2022-0822,1,0,0,0,1
105,CVE-2022-0821,1,0,0,0,1
106,CVE-2022-0820,1,0,0,0,1
107,CVE-2022-0819,1,0,0,0,1
108,CVE-2022-0777,1,0,0,0,1
109,CVE-2022-0776,0,0,0,0,1
110,CVE-2022-0772,1,0,0,0,1
111,CVE-2022-0768,1,0,0,0,1
112,CVE-2022-0767,0,0,0,0,1
113,CVE-2022-0766,0,0,0,0,1
114,CVE-2022-0764,1,0,0,0,1
115,CVE-2022-0763,1,0,0,0,1
116,CVE-2022-0762,1,0,0,0,1
117,CVE-2022-0756,1,0,0,0,1
118,CVE-2022-0755,1,0,0,0,1
119,CVE-2022-0754,1,0,0,0,1
120,CVE-2022-0753,1,0,0,0,1
121,CVE-2022-0752,1,0,0,0,1
122,CVE-2022-0746,1,0,0,0,1
123,CVE-2022-0743,1,0,0,0,1
124,CVE-2022-0736,1,0,0,0,1
125,CVE-2022-0731,1,0,0,0,1
126,CVE-2022-0729,1,0,0,0,1
127,CVE-2022-0727,1,0,0,0,1
128,CVE-2022-0726,1,0,0,0,1
129,CVE-2022-0724,1,0,0,0,1
130,CVE-2022-0723,1,0,0,0,1
131,CVE-2022-0721,1,0,0,0,1
132,CVE-2022-0719,1,0,0,0,1
133,CVE-2022-0717,1,0,0,0,1
134,CVE-2022-0714,1,0,0,0,1
135,CVE-2022-0713,1,0,0,0,1
136,CVE-2022-0712,1,0,0,0,1
137,CVE-2022-0705,1,0,0,0,1
138,CVE-2022-0704,1,0,0,0,1
139,CVE-2022-0697,1,0,0,0,1
140,CVE-2022-0696,1,0,0,0,1
141,CVE-2022-0695,1,0,0,0,1
142,CVE-2022-0685,1,0,0,0,1
143,CVE-2022-0676,1,0,0,0,1
144,CVE-2022-0665,1,0,0,0,1
145,CVE-2022-0654,0,0,0,0,1
146,CVE-2022-0629,1,0,0,0,1
147,CVE-2022-0577,1,0,0,0,1
148,CVE-2022-0572,1,0,0,0,1
149,CVE-2022-0571,0,0,0,0,1
150,CVE-2022-0559,1,0,0,0,1
151,CVE-2022-0554,1,0,0,0,1
152,CVE-2022-0528,1,0,0,0,1
153,CVE-2022-0527,1,0,0,0,1
154,CVE-2022-0526,1,0,0,0,1
155,CVE-2022-0524,1,0,0,0,1
156,CVE-2022-0523,1,0,0,0,1
157,CVE-2022-0521,1,0,0,0,1
158,CVE-2022-0519,1,0,0,0,1
159,CVE-2022-0518,1,0,0,0,1
160,CVE-2022-0515,0,0,0,0,1
161,CVE-2022-0514,0,0,0,0,1
162,CVE-2022-0508,1,0,0,0,1
163,CVE-2022-0482,1,0,0,0,1
164,CVE-2022-0476,1,0,0,0,1
165,CVE-2022-0443,1,0,0,0,1
166,CVE-2022-0432,1,0,0,0,1
167,CVE-2022-0430,1,0,0,0,1
168,CVE-2022-0419,1,0,0,0,1
169,CVE-2022-0417,1,0,0,0,1
170,CVE-2022-0415,1,0,0,0,1
171,CVE-2022-0413,1,0,0,0,1
172,CVE-2022-0408,1,0,0,0,1
173,CVE-2022-0407,1,0,0,0,1
174,CVE-2022-0393,1,0,0,0,1
175,CVE-2022-0392,1,0,0,0,1
176,CVE-2022-0368,1,0,0,0,1
177,CVE-2022-0361,1,0,0,0,1
178,CVE-2022-0359,1,0,0,0,1
179,CVE-2022-0351,1,0,0,0,1
180,CVE-2022-0350,1,0,0,0,1
181,CVE-2022-0341,1,0,0,0,1
182,CVE-2022-0315,1,0,0,0,1
183,CVE-2022-0265,1,0,0,0,1
184,CVE-2022-0261,1,0,0,0,1
185,CVE-2022-0260,1,0,0,0,1
186,CVE-2022-0251,1,0,0,0,1
187,CVE-2022-0245,1,0,0,0,1
188,CVE-2022-0242,0,0,0,0,1
189,CVE-2022-0227,0,0,0,0,1
190,CVE-2022-0219,1,0,0,0,1
191,CVE-2022-0203,0,0,0,0,1
192,CVE-2022-0154,0,0,0,0,0
193,CVE-2022-0153,1,0,0,0,1
194,CVE-2022-0145,1,0,0,0,1
195,CVE-2022-0139,1,0,0,0,1
196,CVE-2021-44684,0,1,0,0,0
197,CVE-2021-43862,0,0,0,0,0
198,CVE-2021-43846,1,0,0,1,0
199,CVE-2021-43813,1,0,0,1,0
200,CVE-2021-43805,1,0,0,1,0
201,CVE-2021-43802,0,0,0,0,0
202,CVE-2021-43798,1,0,0,1,0
203,CVE-2021-43780,1,0,0,1,0
204,CVE-2021-42091,0,0,0,0,0
205,CVE-2021-4172,1,0,0,0,1
206,CVE-2021-41599,0,0,0,0,0
207,CVE-2021-41598,0,0,0,0,0
208,CVE-2021-4146,1,0,0,0,1
209,CVE-2021-4143,1,0,0,0,1
210,CVE-2021-41238,0,1,0,1,0
211,CVE-2021-41232,0,1,0,0,0
212,CVE-2021-41192,1,0,0,1,0
213,CVE-2021-41188,1,0,1,1,0
214,CVE-2021-41186,0,0,0,1,0
215,CVE-2021-41168,1,0,0,1,0
216,CVE-2021-41151,1,0,0,1,0
217,CVE-2021-4103,1,0,0,0,1
218,CVE-2021-4070,0,0,0,0,1
219,CVE-2021-4043,1,0,0,0,1
220,CVE-2021-3967,1,0,0,0,1
221,CVE-2021-39227,0,0,1,1,0
222,CVE-2021-39185,0,0,1,1,0
223,CVE-2021-3866,1,0,0,0,1
224,CVE-2021-38599,0,0,0,0,0
225,CVE-2021-3850,1,0,0,0,1
226,CVE-2021-3813,1,0,0,0,1
227,CVE-2021-37940,0,0,0,0,0
228,CVE-2021-37714,0,0,0,1,0
229,CVE-2021-37700,0,0,0,0,0
230,CVE-2021-37692,1,0,0,1,0
231,CVE-2021-37691,1,0,0,1,0
232,CVE-2021-37690,1,0,0,1,0
233,CVE-2021-37689,1,0,0,1,0
234,CVE-2021-37688,1,0,0,1,0
235,CVE-2021-37687,1,0,0,1,0
